Symbol	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
IGKV3-20	2.268551197	3.509637924	2.66737398	2.283673884	2.29732957	2.522167992
IGKV3-15	1.085482887	1.180717903	1.266614627	1.739865721	1.02212424	1.748125963
IGLV1-47	0.314767314	0.561305243	0.267683076	0.219343825	0.24867843	0.293732227
IGLV2-14	0.077493971	0.111008243	0.104652601	0.09636622	0.091615849	0.091771206
IGLV3-19	0.080628618	0.064177671	0.045228221	0.150930339	0.059433266	0.068129579
IGLV3-25;IGLV3-27	0.090264229	0.040589972	0.044391063	0.104200056	0.067536595	0.056210483
IGHV1-69	0.030883533	0.037860707	0.022233692	0.05728118	0.013124886	0.062388345
IGHV1-46	0.0127209	0.016533685	2.72E-06	0.022342241	0.013933398	0.013419543
IGHV3-7	0.439435751	0.460572435	0.447942649	0.439343191	0.334849988	0.323300656
IGKC	31.1444397	32.93826635	31.40247905	31.25702152	29.79043214	28.62583062
IGHG1	12.24809724	12.0427849	12.04884678	15.68052449	14.37600453	12.70236585
IGHG2	7.367803186	9.006788033	7.298256503	8.265125409	6.902501965	6.975977668
IGHG3	0.1691789	0.112164121	0.126368143	0.186222941	0.167452268	0.164488665
IGHG4	0.266322409	0.104921528	0.169620829	0.179420537	0.275215824	0.240545197
IGHM	46.94366522	51.70920474	45.88337113	52.41014564	42.92083821	51.40740362
IGHA1	4.374029579	5.126933284	4.554357719	4.291547931	3.940528376	3.948655975
IGHA2	3.641211722	4.164222932	4.786477985	3.527262525	2.685423283	3.165791808
IGHD	0.040224715	0.026711435	0.035757341	0.074111304	0.074570224	0.090025881
HLA-B	0.364928747	0.400147794	0.407168687	0.155047028	0.150155269	0.181692193
HBD	0.09987395	0.090909664	0.105991392	0.023496456	0.023164856	0.046044439
COL1A1	0.032284273	0.001772991	0.014578826	0.010970684	0.022241027	2.72E-06
KRT14	1.948176338	1.529513629	1.268687785	0.559208965	1.219950239	0.384784244
KRT6A	6.101899006	5.853368972	5.461226404	1.686782033	5.303034649	1.433079801
LMNA	0.426590241	0.059859197	0.085102412	0.026410581	0.0173913	0.014509836
APOA1	236.0025386	247.3213627	224.2709284	188.2229422	144.5208396	179.7460236
APOE	692.5277055	643.0113372	634.9543811	760.4016384	573.7272291	723.2769003
APOA2	29.18543687	38.32500158	33.8076537	18.42339604	15.44532781	25.85459288
APOC1	17.89744754	21.07969398	16.92629725	39.7648553	32.45390901	38.21458863
APOC2	13.19261722	21.1977669	19.67861343	10.70852129	9.987799262	10.73850144
APOC3	32.09692474	31.89885576	33.10154598	23.99316217	21.08201958	23.06302259
FGA	168.850804	172.9888711	151.216367	139.8877736	107.6511952	124.4630504
FGB	258.6752913	333.8497667	247.6594004	187.620569	154.9827167	184.6764966
FGG	178.4279751	206.4969121	166.277935	140.9176993	122.1572774	129.7090385
SLC4A1	0.27787063	0.218840993	0.256321373	0.036739013	0.028597498	0.047118454
APCS	0.291326362	0.291297999	0.308535608	0.184646737	0.186495898	0.191716196
C1QA	0.299385316	1.263772995	1.57208469	0.549253327	0.694608989	0.949883538
C1QB	0.393512705	0.452590979	0.640250701	1.554078022	1.401268527	1.722148241
C1QC	0.206132183	0.330661671	0.435881254	1.016743619	0.97787576	1.076465752
C9	1.377281747	1.461748756	1.608809519	1.675422042	1.48136595	1.751230355
APOH	0.282020397	0.281649289	0.317258675	0.600686966	0.735126792	0.75304986
LRG1	0.059075683	0.003081388	0.042296048	0.016410243	0.021119713	0.011321
FN1	2.964501295	3.533071109	3.725104724	3.493597703	3.18366151	3.715022197
RBP4	0.065381667	0.077039095	0.105611832	0.058234633	0.097517864	0.067222029
AMBP	1.043199797	0.871966745	0.961619552	1.334505544	1.383302743	1.25961453
ORM1	0.077689565	0.035835103	0.033335842	0.109663716	0.178227815	0.022988142
AHSG	2.115434606	2.100766968	2.442624583	2.615532456	2.366480382	3.161718629
TTR	11.99010694	11.16540789	14.18351451	6.781064382	5.721955444	7.398849865
ALB	44.61266376	32.61458254	41.0879196	53.38119464	48.53377223	42.79639833
GC	0.304498419	0.234008311	0.325037479	0.424266714	0.340474238	0.413717477
PPBP	1.474920125	1.217018089	1.478127138	4.789217609	4.579433412	4.524067067
PF4	19.09696045	23.54747465	16.44332164	22.07762965	19.46611797	24.23490795
TFRC	0.176239991	0.169551849	0.156607405	0.075067199	0.06087244	0.078345538
TF	0.165464086	0.125804491	0.13350598	0.259851016	0.330805134	0.106825881
LTF	0.392796269	0.352341118	0.380891065	1.717876539	1.351187438	1.573064851
HPX	6.054827886	5.984359241	7.029642402	6.539998817	6.248121371	7.040699319
PRH2	0.117264828	0.005035296	0.016718199	0.013108006	0.008984685	0.004182396
ANG	2.329472894	2.401107698	2.001457516	6.514631895	4.792171592	5.407684315
F11	1.881105594	1.999874646	2.185651408	24.44318132	21.81525853	29.67490775
KLKB1	0.391991619	0.353024401	0.349291532	2.655245977	2.208408707	2.678585423
MMP1	0.036186237	0.00810094	0.008150883	0.040627434	0.014739792	0.021454668
C4BPA	1.082502399	1.16286253	1.171267291	1.381161981	1.187634012	1.355315091
VTN	1403.753115	1326.443393	1341.397279	1218.479806	1086.39443	1156.713402
CAT	0.19744193	0.16434706	0.142762623	0.0491863	0.056329857	0.050186192
GBA1	0.057436408	0.032866408	0.023887579	0.006726382	0.006797202	0.006275949
PROC	0.402205114	0.414326627	0.401380859	0.305122622	0.258691916	0.289373922
ALDOA	0.098976204	0.083018442	0.093904489	0.036137403	0.031187317	0.030838381
ANXA1	0.156013852	0.026637402	0.064008301	0.010455732	0.014333094	0.00861964
APOB	8.872615702	10.24388062	10.21584945	6.94420847	8.003790297	7.457505522
PRNP	0.070859032	0.028782942	0.047745715	0.111234011	0.095249003	0.106659469
LCAT	0.123286023	0.125475459	0.119346482	0.048070797	0.048318024	0.064132587
HRG	53.04638869	63.27389489	59.07830628	125.3535325	145.6234408	158.316348
A1BG	0.055867737	0.047602385	0.050986618	0.05877533	0.073780006	0.057457384
KRT6B	26.85548248	29.7388386	28.96118042	7.489796044	32.55527874	6.579417501
KRT1	42.50258999	32.37209748	25.02658527	12.53053483	15.7202188	9.148954702
VWF	0.238634484	0.284335	0.20477479	0.169641039	0.165060895	0.16474464
SHBG	0.330283292	0.282765146	0.389039263	0.300025323	0.231987239	0.283516675
GAPDH	5.548369407	5.811066037	4.740339214	3.661897163	2.879157034	3.135440995
IGKV1-16	1.00E-02	0.002596843	0.000810985	0.048775841	0.127388233	0.114209308
HLA-A	0.508107873	0.421309114	0.460377858	0.294733473	0.246903122	0.31110356
CAPNS1	0.072295827	0.042957402	0.047645781	0.032017442	0.023800847	0.03103326
HSPB1	0.165899593	0.143021202	0.119095634	0.032249476	0.042645927	0.036181076
GNAI2	0.335741292	0.120508964	0.184920674	0.052948041	0.110401615	0.149514465
H2AC8;H2AC17;H2AC7;H2AC25;H2AC6;H2AC12;H2AC14;H2AJ	2.575867712	2.339947515	1.514164766	1.417094939	1.007559199	1.005510172
IGF1	0.299207211	0.293285257	0.302063831	0.849810452	0.569281918	0.732052676
ARG1	0.262824667	0.252461893	0.177160811	0.046740464	0.062889159	0.035514375
APOD	6.706290647	5.92856462	6.544724342	2.291793628	2.074132212	2.439199895
ITGB3	0.503641195	0.369656423	0.43268585	0.129258896	0.095294278	0.111293632
S100A8	1.325509411	1.227817098	1.375356242	0.527087704	0.479749055	0.544186598
SERPINE1	0.125535234	0.108852943	0.12306247	0.087968837	0.081120769	0.097457058
SLC25A5;SLC25A6	0.053819324	0.011658765	0.011780285	0.013615954	0.005851498	0.005311207
SERPINA5	3.963183426	3.563656409	4.279906072	14.09511878	12.61858604	14.01710536
SERPING1	2.842131713	2.919970936	2.959975999	2.648957872	2.381438381	2.595836984
CFI	0.221810365	0.166576995	0.243917885	0.573031132	0.489068404	0.608090721
F13B	0.027092908	0.014266927	0.003328456	0.033910102	0.040111098	0.019693396
MPO	0.3888137	0.371371488	0.360610721	0.598139523	0.496239056	0.612757667
CLEC3B	0.207004817	0.172111414	0.18478085	0.247701518	0.206184995	0.238615342
SSB	0.0298065	0.02620457	0.018073718	0.004022207	0.001553919	0.01984914
SERPIND1	0.755582228	0.650665313	0.857770858	0.632140455	0.560241233	0.665226428
IGKV4-1	0.321717641	0.271749394	0.263390944	0.301651641	0.203768995	0.246057617
IGHV4-34	0.351459953	0.232525138	0.402183555	0.485045084	0.365963643	0.536994565
GSN	5.228500397	5.095790315	4.898773221	4.668521664	3.86004978	4.369178902
ATP5F1B	0.219790339	0.242470239	0.218774641	0.10887297	0.092219774	0.111083819
C2	0.140702869	0.097061509	0.155335924	0.326983968	0.324790605	0.360895746
S100A9	0.936297535	0.64941338	0.57046468	0.18757189	0.217210482	0.193053783
S100A6	0.035790285	0.018061282	0.01589325	0.008544384	0.005660043	0.00563357
APOA4	24.68813335	26.02084728	26.02027061	15.40037721	10.85004699	15.15771333
ENO1	1.206026945	1.198014305	1.191566206	0.938704536	0.833494534	0.944176931
LPL	0.706310693	0.666459465	0.594134409	0.393523216	0.359225718	0.378091653
SERPINE2	0.050451324	0.038100889	0.038988847	0.082565529	0.071955358	0.081622922
LDHB	0.027335139	0.021120389	0.012332151	2.72E-06	0.005455593	0.008572241
GPX1	0.495325446	0.335873731	0.38864841	0.343412126	0.268189876	0.327874938
PROS1	0.807535708	0.870492361	0.957047964	0.580740936	0.588454308	0.637290742
P4HB	0.023295001	0.010981448	0.020785032	0.010390207	2.72E-06	0.009511719
ASGR2	0.022921289	0.004333395	0.008261642	0.007813549	0.012604401	0.015161856
CTSD	0.438497196	0.385191968	0.269685142	0.068468144	0.074808787	0.06523978
ANXA2	0.398776701	0.299324791	0.281970924	0.076395204	0.080817109	0.059112602
C8A	0.109605389	0.134538775	0.161457366	0.348446271	0.32855314	0.435492518
C8B	0.821333519	0.734099809	0.865336516	3.027442001	2.562508983	3.027162226
GP1BA	0.128371591	0.072894941	0.079659809	0.043781089	0.032187872	0.037148393
C8G	0.146742958	0.142232553	0.154521881	0.517231787	0.554100308	0.585880208
CAPN1	0.150428238	0.139774415	0.155963548	0.077047568	0.072588747	0.072438441
TUBB	0.184626322	0.171518989	0.17261491	0.07940525	0.059725987	0.069314832
PRSS1	4.293937043	0.21491444	0.290814034	0.46916906	0.281995881	0.469571684
DCN	0.347749579	0.382976963	0.36963772	2.72E-06	0.001457288	2.72E-06
PFN1	0.362936781	0.306625611	0.399193564	0.14559171	0.118346878	0.135659431
CTSB	0.025044381	0.009542481	0.003444087	2.72E-06	2.72E-06	2.72E-06
HNRNPC	0.053715284	0.052553255	0.045447619	0.092183731	0.09244036	0.104043493
THBS1	0.541348314	0.56791041	0.611845233	0.415989526	0.339457998	0.391719586
RNASE1	0.017295803	0.002711361	0.001342788	0.01855503	0.007072271	0.022400078
COL1A2	0.062968054	0.005795273	0.046300415	2.72E-06	0.044082627	1.54E-05
SERPINA6	0.029980086	0.003437713	0.027740439	0.025012183	0.030852383	2.72E-06
HSP90AB1	0.046675262	0.03142304	0.042402995	0.019966872	0.006891369	0.017864932
ELANE	0.119500645	0.069289563	0.074422756	0.076297191	0.034151369	0.05208006
MMP2	0.440970618	0.44152785	0.405683295	0.183775505	0.153238368	0.14647725
MMP3	0.133176913	0.134438716	0.108598955	0.055557539	0.047126127	0.06123513
SOD3	0.066434908	0.03447127	0.046949934	0.021766312	0.023325642	0.026369682
CTSG	0.159522879	0.135137527	0.134519527	0.117165144	0.078428785	0.091079711
ADH4	0.188912795	0.167499201	0.169010765	0.160883355	0.135612696	0.149194684
MGP	4.711633682	7.213287509	5.652407706	5.434510617	5.347940412	4.872194653
ITGA2B	0.479767628	0.501166946	0.549589856	0.139812582	0.124256149	0.161813622
LPA	0.199314564	0.21955008	0.168077157	0.143146975	0.184717061	0.141472219
PLEK	0.174942389	0.152746131	0.181415771	0.174171258	0.159375386	0.186857538
CD14	0.311689769	0.283160393	0.213663326	0.276754859	0.177280414	0.218456515
COL4A2	1.00E-02	2.72E-06	2.72E-06	0.015589648	0.018844032	0.020077661
CFH	1.082844643	1.211300425	1.291961902	3.169409289	2.583663054	2.978447189
VIM	0.129613968	0.117921403	0.104267432	0.083594054	0.052918361	0.070973274
SERPINF2	0.317405963	0.313255867	0.347557342	0.3065373	0.297219246	0.282884768
F7	0.138300702	0.115769238	0.112126155	0.110671068	0.086458241	0.094982439
KRT16	0.626902756	0.71167488	0.596160485	0.263195957	1.452115743	0.113169281
IGFBP1	0.276687404	0.098596117	0.073481357	0.246548945	0.23728718	0.160981942
DBH	1.062689298	0.848715253	0.514029213	0.369428839	1.261040873	1.654862874
GSTP1	0.041305301	0.029317948	0.021047988	0.010815171	0.003824265	0.008119193
MMP7	0.095846472	0.063596738	0.028360516	0.035712644	0.023194799	0.020777899
LGALS1	0.04263752	0.029364904	0.023722952	0.025423625	0.020944294	0.018417952
SPARC	0.041730451	0.033785885	0.025469446	0.009799485	0.013569378	0.013635991
INHBB	0.033859205	0.010470057	0.020002448	0.066191849	0.078272807	0.106637109
HNRNPA1	0.066994555	0.014835143	0.01067742	0.070246943	0.059186454	0.055867035
CTSH	0.03765849	0.025929726	0.0218904	0.036574028	0.037898341	0.062116607
C1S	1.292492564	1.203230553	1.528757609	0.530684774	0.487026975	0.587332411
C4A	1.848226706	1.788897676	1.888608679	2.966666553	2.679612166	3.048531304
C4B_2	0.581370889	0.667945395	0.562201071	0.628540336	0.514385563	0.591677231
UBB;UBC;RPS27A;UBA52	1.078165609	0.979473566	1.07786181	0.235672009	0.220125369	0.224695379
SAA1	3.476621987	3.945366899	3.379495333	2.650422775	2.089784111	2.38754306
SAA2	1.446226729	1.671867694	1.550532652	1.606608432	1.457933163	1.541946669
HSPA1A;HSPA1B	0.282693555	0.263950565	0.284837408	0.146553101	0.150672874	0.136222556
IGLC2;IGLC3	17.92245466	13.00688318	11.6177319	17.69194465	13.02530528	13.25187296
CALM1;CALM2;CALM3	0.118498168	0.08500716	0.127103859	0.024101493	0.01926479	0.020252415
SLURP2	0.045389014	0.022377274	0.0287773	2.72E-06	2.72E-06	2.72E-06
SRGN	2.301852658	2.997175024	2.804049431	0.221537988	0.194615638	0.227338112
PRB4	0.025433689	2.72E-06	0.003040584	2.72E-06	2.72E-06	2.72E-06
HLA-C	0.218849849	0.204706521	0.196189593	0.102977926	0.073099207	0.110469182
SPP1	0.159922487	0.054316868	0.164417824	0.132872399	0.067064438	0.083289295
TXN	0.362523494	0.299683512	0.218241075	0.088556314	0.119339618	0.068629647
C7	0.405996663	0.351110649	0.442189921	1.177133007	1.056489711	1.19572565
CHGA	0.076643151	0.050270989	0.044081989	0.077153937	0.070384982	0.057688682
TFPI	0.92264299	0.807447009	0.796271817	0.579107914	0.475351295	0.536745398
HSPD1	0.098810406	0.007110549	0.009308508	0.045873378	0.005823036	0.038697768
CLU	126.1089258	134.540113	129.7056129	59.21157939	46.07263953	62.33315457
HSPA5	0.166161453	0.152719263	0.165076766	0.101177477	0.106383223	0.107773587
HSPA8	0.164443986	0.177747975	0.174520794	0.05798267	0.070548531	0.073484763
SLC2A1	8.168367727	7.939040522	7.080756616	1.604262528	1.89397723	1.974467521
SLC2A3;SLC2A14	0.104389858	0.066312507	0.06723507	0.013595355	0.010924204	0.021444408
MBL2	0.146957635	0.069296188	0.163894127	0.134737171	0.074135417	0.082701806
CETP	0.327116095	0.315983377	0.436621443	0.396180704	0.390797845	0.352019117
SCGB1A1	1.00E-02	2.72E-06	2.72E-06	2.72E-06	2.72E-06	2.72E-06
KRT3	0.070822317	0.066168722	0.050008658	0.017513988	0.024466611	0.010635617
COL6A3	0.043176199	0.039404357	0.033203702	0.026369727	0.024148985	0.025581938
F5	22.4477886	23.9604104	23.39862951	9.546014191	8.156901182	9.071756073
PIP	0.113060387	0.077512595	0.095166877	0.033273124	0.034068137	0.028888409
RNASE3	0.108798068	0.114867823	0.082806154	0.138845521	0.122579246	0.12108972
ACTN1	2.498384015	2.325048462	1.882317817	0.704746764	0.506734601	0.553239989
CDH1	7.826960025	8.666503348	9.841362025	7.870130618	6.164486253	9.694741961
DEFA4	0.020120385	0.015279034	0.021452886	0.013668479	0.009520556	0.014663087
GP1BB	0.322798503	0.349008064	0.345916383	0.069670363	0.062513064	0.080854551
BMP1	0.508767158	0.528346683	0.519675709	0.37170965	0.274631681	0.335982472
CYBA	0.029356581	0.005877049	0.00764192	0.006295991	2.72E-06	0.002530295
ICAM2	1.00E-02	0.02159794	0.033006953	0.018371186	2.72E-06	0.027785119
VCAN	0.323445407	0.370807743	0.321516217	0.286862985	0.260786096	0.369388626
KRT10	37.21802672	27.09502361	19.39340862	9.264842193	8.754624199	7.959805235
KRT13	8.510590802	6.684603265	3.395388128	2.985261982	1.757315128	2.291800157
KRT5	3.297944817	3.042401377	2.137006388	0.934759666	1.290945654	0.645530969
C6	1.069680397	1.107162272	1.23624661	2.538796321	2.532559202	2.73236249
ACP5	0.054210678	0.048947394	0.052687987	0.106219754	0.095823811	0.111255369
LCP1	0.091915425	0.079684021	0.086080393	0.057110306	0.041449645	0.04887423
ENO3	0.065544545	0.034334229	0.047593759	0.035455082	0.033063009	0.030742049
CD99	0.068534235	0.014697412	0.014726657	0.039118154	0.015660109	0.014285407
NID1	0.032003228	0.013198758	0.01112296	0.003910255	0.003676815	0.002727509
PKM	0.336963467	0.291961814	0.297854264	0.214993051	0.196562829	0.214442794
HSP90B1	0.094179505	0.074553449	0.106466147	0.108149207	0.078909324	0.087734743
JUP	0.538003399	0.322251178	0.248148104	0.101291526	0.120986859	0.07515353
RAC2	0.770028637	1.343701446	0.565624748	0.589467455	0.479107055	0.535281371
CPN1	5.708836292	5.475522228	5.737121799	4.503225967	3.826650538	4.559385847
B4GALT1	0.03677982	0.008556112	0.020781326	0.020761081	0.017675546	0.021474964
ELN	0.04863013	0.035037814	0.035773815	0.041835022	0.027532369	0.0352408
IGLL1	8.824123134	17.59628175	9.898676166	11.72764881	10.68932022	10.25139381
ST6GAL1	0.416946749	0.52596687	0.529260474	0.489907965	0.500238595	0.56931839
DSP	0.949480426	0.753514639	0.592863395	0.205531348	0.303174469	0.156633262
TIMP2	0.049895541	0.035928663	0.055736459	2.72E-06	2.72E-06	0.011023921
PECAM1	0.076142179	0.070382411	0.072364418	0.013814587	0.01714099	0.021064736
H1-5	0.473239008	0.146208621	0.510422816	0.354889152	0.386719084	0.37050193
H1-3	0.477976336	0.421958758	0.447233311	0.389834081	0.430979161	0.419668333
STMN1	0.011170272	0.001070028	0.000863002	0.001261969	0.001568151	0.002033248
BPI	0.034906451	0.030010753	0.026065278	0.02749969	0.023202208	0.021183414
